【台灣即時風景影像】,#genre#
【新港奉天宮】,https://www.youtube.com/watch?v=iAS-sW3dpmU&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=160
【桃園國際機場】,https://www.youtube.com/watch?v=91PfFoqvuUk
【大稻埕碼頭】,https://www.youtube.com/watch?v=Ndo_8RuefH4
【石門水庫】,https://www.youtube.com/watch?v=GUCaVR88ZFU
【三峽老街】,https://www.youtube.com/watch?v=WN3wOEGbb_Q&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=317
【大溪老街】,https://www.youtube.com/watch?v=XUWjAsajKXg&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=58
【虎頭山兒童公園】,https://www.youtube.com/watch?v=yQSmajHyMhU&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=61
【虎頭山夜景公園】,https://www.youtube.com/watch?v=tu_gsIkNt-w&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=67
【小烏來天空步道】,https://www.youtube.com/watch?v=neaiCec1kec&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=68
【拉拉山】,https://www.youtube.com/watch?v=YkIUZjVlhv4&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=70
【基隆八斗子漁港】,https://www.youtube.com/watch?v=l6dJXXzR4YU
【基隆潮境海灣】,https://www.youtube.com/watch?v=iw8_RUCeKdw&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=348
【永安漁港】,https://www.youtube.com/watch?v=tD_a03trUvE
【花蓮海岸-忘憂亭】,https://www.youtube.com/watch?v=Ic6hqus0tjA
【花蓮鯉魚潭】,https://www.youtube.com/watch?v=29H5j3EsV3Q&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=74
【阿里山】,https://www.youtube.com/watch?v=j2L_559nCjc&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=102
【淡水市區】,https://www.youtube.com/watch?v=w2UFe1weBrQ&list=PLDm4hXBol5DE9QmiOdgyzYmS2jRzenhUv&index=104
【淡水漁人碼頭】,https://www.youtube.com/watch?v=xwAWSh35uuw
【台9線-財茂彎】,https://www.youtube.com/watch?v=3JF9plveqE0
【台東多良車站】,https://www.youtube.com/watch?v=UCG1aXVO8H8
【墾丁大街、墾丁大灣、墾丁路】,https://www.youtube.com/watch?v=ue4O7d9qP6I
【三仙台】,https://www.youtube.com/watch?v=dQ7Sd6PGLdA
【綠島柴口浮潛區】,https://www.youtube.com/watch?v=zQQSfAkjCJc
【金崙大橋】,https://www.youtube.com/watch?v=9QqBz3kNHis
【西子灣】,https://www.youtube.com/watch?v=Jsz-d62r-Eg
【富岡漁港】,https://www.youtube.com/watch?v=VG8ASWpuUvE
【加路蘭遊憩區】,https://www.youtube.com/watch?v=AKl3F6cAY2Q
【西子灣2】,https://www.youtube.com/watch?v=BV43sOgquQk
【金門134高地】,https://www.youtube.com/watch?v=-srNHTE-Nf0
【船帆石沙灘】,https://www.youtube.com/watch?v=f8yo_osMxAg
【壽豐花蓮大橋】,https://www.youtube.com/watch?v=BDs9UIRw4zc
【高雄海岸_蚵寮國小】,https://www.youtube.com/watch?v=sKrqs-5Auqo
【烏來老街與覽勝橋】,https://www.youtube.com/watch?v=tx07sS9lCvY
【礁溪寒沐酒店頂樓】,https://www.youtube.com/watch?v=cPh2vzrtG_w
【高雄壽山情人觀景台】,https://www.youtube.com/watch?v=C03Itx8iSC0
【高雄蓮池潭】,https://www.youtube.com/watch?v=BnPoNatG-HE
【高雄旗津海水浴場】,https://www.youtube.com/watch?v=ka7FV0sCvxQ
【高雄系統 南向 交流道】,https://www.youtube.com/watch?v=J8fsaAXWnwU
【高雄旗津】,https://www.youtube.com/watch?v=qEishQW_Wxc
【前鎮區 草衙道】,https://www.youtube.com/watch?v=l19qCwglItE
【高雄市澄清湖、澄清湖觀夕平台】,https://www.youtube.com/watch?v=uKeDvjvYJdw
