跨年晚會(限時),#genre#
賀歲金曲,https://www.youtube.com/live/CgdQQgvwVrA?si=4MjW4paR5HElD8NJ
2024-2025湖南卫视芒果TV跨年晚会,https://www.youtube.com/live/_VNG91VXwh8?si=eQlYDS3iVn5VPPG0
2025跨年晚会(浙江卫视),https://www.youtube.com/live/1ANoD7U8-fM?si=sd8fPe8mfMyJT2qv
中央广播电视总台跨年晚会,https://www.youtube.com/live/t6O62annf6o?si=lwlU3dEGGIeyR5Hm
送別2024最後一道夕陽 高雄西子灣賞落日美景(1600)(中時新聞網),https://www.youtube.com/live/Erz8GaeS_TQ?si=eLbmcMABhIVrTAyI
2025臺北最HIGH新年城(1830)(臺北市政府),https://www.youtube.com/live/lMU9FseF9Dw?si=lDt4fc86ts9RejRu
2025臺北最HIGH新年城(1900)( TVBS新聞),https://www.youtube.com/live/PmCGbf0y_6E?si=IDSdgDAvEKmS4Fuw
2025閃耀新北(1600)(新北市文化局),https://www.youtube.com/live/eo--PeVzvj8?si=ZxLJAB0ftqxAjjz_
2025桃園跨年晚會(1900)(ETtoday新聞雲),https://www.youtube.com/live/qoMFCGh9Py0?si=z-xUXPU4LMD1Sv7v
2025桃園跨年晚會(1900)(中視新聞),https://www.youtube.com/live/DhccGRnAWa4?si=7ReRvLFmZtFeU7Tu
2025桃園跨年晚會(1900)(中時新聞網),https://www.youtube.com/live/tNmsN7i46FY?si=7S6cUyII5jDWV_tR
2025大新竹跨年晚會(1800)(中視新聞),https://www.youtube.com/live/Iq-GJsHO9S0?si=JpwHJXIKcz5u6KQh
2025蛇現幸福 台中跨年晚會(1830)(三立新聞網 ),https://www.youtube.com/live/TEPJQJnfH-0?si=NzYR9UUd7wzr1SdN
2025蛇現幸福 台中跨年晚會(1830)(Vidol),https://www.youtube.com/live/gRPLgTowFSA?si=pictxsvrGQKSaURz
2025麗寶樂園跨年(2030)(三立新聞網),https://www.youtube.com/live/f2NbPgfYe4Y?si=uhut43N8wSPdMbcb
2025傳說對決麗寶跨年(2030)(Vidol),https://www.youtube.com/live/yRUOfzgQef0?si=Nh0LXsLerXmeKYJy
2025台中跨年夜迎接(1600)(中時新聞網),https://www.youtube.com/live/LSCp2_Khubg?si=1O0UZQeit3kPITdk
2025西螺跨年晚會,https://www.youtube.com/live/wUlBoE45zCY?si=xEi4xfLBKaBFiswd
2025台南好YOUNG跨年晚會(1720)(TVBS NEWS),https://www.youtube.com/live/BcOxf414JR0?si=YfhLN6CX_rOMzAcH
2025高雄跨年晚會(1855)(華視綜藝),https://www.youtube.com/live/KVFQjlO1-GY?si=KziWDeU5dohSpfuE
2025 高雄亞灣嗨翻迎(1600)(中時新聞網),https://www.youtube.com/live/fIhvWIXoE0w?si=JT-AE0Z7Qo1eyGcF
2025屏東縣潮州鎮 - 埊龍福聚潮誇年晚會,https://www.youtube.com/live/mRSoLH-u6FQ?si=czAd5oaKdHZYxY-G
2025花蓮縣玉里鎮歲末聯歡晚會,https://www.youtube.com/live/QDxDZxQTt8Y?si=H1BZIcpFlTy4oMMG
2025台東跨年晚會(1900)(公共電視),https://www.youtube.com/live/nhTlAV8gPqM?si=G-9NcfxdkiFSZ1o1
2025台東跨年晚會(1900)(TVBS新聞),https://www.youtube.com/live/mcipCrHvQVw?si=sSCukVF_9tSkXGtd
2025宜蘭市跨年晚會,https://www.youtube.com/live/HVbf6oHaVM0?si=HMulDseLE-D7rVjG
2024-2025花蓮太平洋觀光節跨新年演唱會DAY1(1900)(Vidol),https://www.youtube.com/live/Jlx28hgn26Y?si=EeGebar6v9nv-984
2024-2025花蓮太平洋觀光節跨新年演唱會DAY2(1900)(Vidol),https://www.youtube.com/live/ia820-0C4Ng?si=iiiykt99_Zz6eDD5
在家追2025第一道曙光！直擊東海岸日出(0400)(中時新聞網),https://www.youtube.com/live/KJmB41W6ngY?si=Xgi2hZcWjm6hoHMK
2025阿里山日出印象音樂會(0530)(民視新聞網),https://www.youtube.com/live/mvROJDqg840?si=3wf9OPun37UN9aJO
藍營縣市升旗迎新年(0730)(中時新聞網),https://www.youtube.com/live/ZTh6--3Khe4?si=yIqo5xvvHIAAHxK6



跨年煙火(限時),#genre#
時代廣場跨年(1300),https://www.youtube.com/live/W3E6lK-bdxs?si=DymFgjau_WZKf4D9
紐約時代廣場跨年(1300),https://www.youtube.com/live/I_hz6eDHEUo?si=c7acPQcrUgsl1j_g
2025紐西蘭跨年煙火秀(1900),https://www.youtube.com/live/sWQP_oq2op4?si=vp1jzCwM9nWn1Zmd
紐西蘭奧克蘭 迎接2025(1900),https://www.youtube.com/live/GDRESZW7LYI?si=WccjaiCpn4-ygumm
紐西蘭奧克蘭天空塔(1900),https://www.youtube.com/live/rrAee_pXRJU?si=6Fi2ApoK77CRwCMw
紐西蘭跨年(1900),https://www.youtube.com/live/I-YZp4c-_AY?si=qAtFJZFCx3_Dbaqx
澳洲雪梨歌劇院跨年煙火(2000),https://www.youtube.com/live/YhPbkCKWvsY?si=jMsKNkMW-Gpz9D7S
新北1314跨河煙火(2035),https://www.youtube.com/live/PJcQjGZaPBI?si=NY6TJy-rxXo4H-zq
2025年淡水河上空照亮整片天際(2025),https://www.youtube.com/live/iZp6bHgNRKw?si=o4F5Yaa7iVc_Fw4e
澳洲跨年(2100),https://www.youtube.com/live/SgHhDqfiiK0?si=U2abbGzeNVRI9jxb
澳洲雪梨大橋跨年煙火(2100),https://www.youtube.com/live/7z4CG1f9uZY?si=6m1aX6X86KOt7SoU
2025雪梨煙火秀(2100),https://www.youtube.com/live/E1kfiPtGh4w?si=KyNZhToqCzOLdqfl
義大跨年(2359),https://www.youtube.com/live/NFtegDlU7rM?si=enxFl9ORQq1s5_s4
夢時代廣場・星光熠熠 2025(2345),https://www.youtube.com/live/jRiHdIJ1rSI?si=TuWrGDBz_7MYuZgq
香港維多利亞港口跨年煙火(2345),https://www.youtube.com/live/LV-5-wFChDk?si=WLq2GW9RFMvibOWI
劍湖山煙火(2350),https://www.youtube.com/live/04dP7zSd7YE?si=MXiQc6L_xSq439kY
2025劍湖山世界跨年煙火秀(2345),https://www.youtube.com/live/pKJX0cygfeI?si=VdYjSLctLJOf6EwO
Taipei 101(2350),https://www.youtube.com/live/2azpXg6IpLY?si=VehGYhLVfvQr4h_q
台北101煙火光雕絢爛360秒(2350),https://www.youtube.com/live/u4EpkPTsxq4?si=tI2VI99oLPm9b_Pa
台北101跨年煙火(2355),https://www.youtube.com/live/D5rp1jJkpWw?si=A-rc73g1Da_LFAeh
台北101煙火秀【台北最High新年城】(2345),https://www.youtube.com/live/36rjfh_ATDg?si=34sFGcJzZ8Ie68rm
雅典衛城帕德嫩神廟跨年煙火(0545),https://www.youtube.com/live/hfaE8ug4qI8?si=uo6bgMKIzJNPo3Lo
倫敦眼跨年煙火(0800),https://www.youtube.com/live/qdnmVgJfAcQ?si=VYiKIV6w-Bqv5yo0
