台灣,#genre#
不知道,http://ali.hlspull.yximgs.com/live/171f548c7caa2a9a5aa005bdb96c9112.flv
台湾戏剧,http://cc-us3.jdiptv.cc/live/twxj.m3u8?kdstime=1737437982&kdssign=09f088e9512a3315fa6f4f36fade1d9a
CATCHPLAY,http://kr1.jdiptv.cc/live/cpdy.m3u8?kdstime=1737438058&kdssign=20d236bb7e0d34cf43d58a1cca8af140
CATCHPLAY,http://kr1.jdiptv.cc/live/cpdy.m3u8?kdstime=1737449549&kdssign=e9a770fe231ed30bed527952cad4716f
HITS电影,http://cc-us3.jdiptv.cc/live/hits.m3u8?kdstime=1737438493&kdssign=727a172f52bbfcd4c272b687d16c09d7
HITS电影,http://cc-us3.jdiptv.cc/live/hits.m3u8?kdstime=1737449198&kdssign=2a9c3966f537d656b719f303b735bd4f
好莱坞电影,http://sg3.jdiptv.cc/live/hlwdy.m3u8?kdstime=1737438258&kdssign=7105e45651c5176693d4a06bc7dd139b
好莱坞电影,http://sg3.jdiptv.cc/live/hlwdy.m3u8?kdstime=1737449482&kdssign=0b7c92bcb445b14f41c0c18095046251
东森新闻,http://sg5.jdiptv.cc/live/dsxw.m3u8?kdstime=1737443659&kdssign=07c3325468d1322d49bf1864e1566aea
东森新闻,http://sg5.jdiptv.cc/live/dsxw.m3u8?kdstime=1737449618&kdssign=aef87831044192b8b24334997b231f5d
三立台湾,http://sg4.jdiptv.cc/live/sltw.m3u8?kdstime=1737443738&kdssign=0b22a498801f09bdedfeaa344414be22
三立台湾,http://sg4.jdiptv.cc/live/sltw.m3u8?kdstime=1737449767&kdssign=7175a9197b6adf4a3fa7cb34973624c7
三立国际,http://ar-ca2.jdiptv.cc/live/slgj.m3u8?kdstime=1737435859&kdssign=85c691b2600a6139ab7bc7a4b1628136
三立国际,http://ar-ca2.jdiptv.cc/live/slgj.m3u8?kdstime=1737449807&kdssign=7ee1ebc151efe1ff1fc8eb375dafdd82
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737435987&kdssign=d8ca30711aace81e63dfcecc9e721c3f
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737443846&kdssign=b849651b3d4705385ace3b5fcf8b4cf0
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737449676&kdssign=79569b9e51f7825e67fe44137f04670d
三立戏剧,http://cc-us2.jdiptv.cc/live/slxj.m3u8?kdstime=1737435955&kdssign=c56054b740a1d70528488d981441c195
三立戏剧,http://cc-us2.jdiptv.cc/live/slxj.m3u8?kdstime=1737449877&kdssign=8a7d24a08c5a560658ae78057e698591
三立综合,http://sg6.jdiptv.cc/live/slzh.m3u8?kdstime=1737436047&kdssign=adfa4b19f74a04607b3d7e608e24bc95
三立综合,http://sg6.jdiptv.cc/live/slzh.m3u8?kdstime=1737444472&kdssign=9041771817f592f27b39d026585933cc
中天娱乐,http://sg6.jdiptv.cc/live/ztyl.m3u8?kdstime=1737433302&kdssign=bce1e2dedcfda75c988d989224668dd0
中天娱乐,http://sg6.jdiptv.cc/live/ztyl.m3u8?kdstime=1737448864&kdssign=957a7ba465e13b053d5eaebf7e56d9a5
中天新闻,http://cl-hk1.jdiptv.cc/live/ztxw.m3u8?kdstime=1737444744&kdssign=3d4c909b7b5bfba534b948df6253907d
中天新闻,http://sg6.jdiptv.cc/live/ztxw.m3u8?kdstime=1737433262&kdssign=0da5e756428c3e00484c96d9207a4f42
中天新闻,http://cl-hk1.jdiptv.cc/live/ztxw.m3u8?kdstime=1737448800&kdssign=4f26cd4cebad69aba12c45448f882223
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737433341&kdssign=e836767ada6db599f7f35ea3567579bd
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737444617&kdssign=8bd18293ce82f467d9f32e02938b5a8c
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737448909&kdssign=c3902783fff12cf92a7182033223fd40
八大戏剧,http://fr-us4.jdiptv.cc/live/bdxj.m3u8?kdstime=1737436464&kdssign=dc44e93766c4f4f14cf85d3badc5e6a7
八大戏剧,http://fr-us4.jdiptv.cc/live/bdxj.m3u8?kdstime=1737449047&kdssign=aa8e55280775014c94d577e0f06a3e9c
八大第一,http://fr-us4.jdiptv.cc/live/bddy.m3u8?kdstime=1737436390&kdssign=66c0dd477220058e28b7e24ba0beef3a
八大第一,http://fr-us4.jdiptv.cc/live/bddy.m3u8?kdstime=1737448991&kdssign=251829f3eff2421af20b73f14d39eed7
八大综合,http://fr-us4.jdiptv.cc/live/bdzh.m3u8?kdstime=1737436501&kdssign=d335218b2040d993a263e2271fbfaa2a
八大综合,http://fr-us4.jdiptv.cc/live/bdzh.m3u8?kdstime=1737449115&kdssign=e0b5b608ac4b40e95db28dcc7b0cc0ab
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737433228&kdssign=33379df34c452bdb74874afede17e005
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737445021&kdssign=9f62b0c0664a01b76f2421aff643086a
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737448745&kdssign=049e279ef9d948ac1b5e80a3d900564b
公视台语,http://al-us3.jdiptv.cc/live/gs2.m3u8?kdstime=1737437351&kdssign=ada7085569ee45aa27c0e89582b9d0df
公视台语,http://al-us3.jdiptv.cc/live/gs2.m3u8?kdstime=1737449964&kdssign=d3722fe8d57ebd8f129ae1f949c4510f
公视,http://al-hk1.jdiptv.cc/live/gs3.m3u8?kdstime=1737437454&kdssign=6848ae31dedb97d3c245da8a8e1ee0c3
公视,http://al-hk1.jdiptv.cc/live/gs3.m3u8?kdstime=1737450012&kdssign=f7e8e8c38ddf2adb472ffe6784f897fc
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737433133&kdssign=e52f886cc5488333257dc0fdbdddb279
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737445120&kdssign=b649ac17d0c7e1670e530d08297e4b16
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737448558&kdssign=a5b359b8e43b283187a4e48560dd1171
民视第一,http://fr-us1.jdiptv.cc/live/ftvdy.m3u8?kdstime=1737435428&kdssign=582e15b4c00d9051adcacdfa335938e2
民视第一,http://fr-us1.jdiptv.cc/live/ftvdy.m3u8?kdstime=1737450104&kdssign=76f5e02ab7b24b9be5dfb780175d73f9
民视台湾,http://sg2.jdiptv.cc/live/ftvtw.m3u8?kdstime=1737435480&kdssign=65af0af691e5f29632f6e116f731720b
民视台湾,http://sg2.jdiptv.cc/live/ftvtw.m3u8?kdstime=1737445203&kdssign=dbcd2acf4e9bf159acacf2145b7be142
民视新闻,http://sg5.jdiptv.cc/live/ftvxw.m3u8?kdstime=1737435515&kdssign=de5330fd947c15a215ee3c22b1cdd760
